id,name,username
5513002,Steve Marmel 💉💉💉💉,Marmel
473507055,Malice Katmann,AliceKatmann
2876041031,Barbara Malmet,B52Malmet
5054721,Donna Schwartz Mills,socalmom
1304772605329768450,Trump Is Putins Puppet,is_putins
44020361,Thee Lisa Glass 🇺🇦,LMplusG
1397635078918901762,rose,rosemar81263587
4905988871,"Jen Senko ""The Brainwashing of My Dad"" film & book",Jen_Senko
14839425,Past Daily,Gordonskene
886398296146706432,Fifty Shades of Whey,davenewworld_2
1354124592005189633,Charming Bastard,StarlingBuchan1
21257340,fatty hearst,fatty_hearst
240355021,Alfred E. Guevara,JEBellweather
16678856,Strachan Pindar,strachanp
17846095,Shea Smith,sheasmith
108396250,Mary J,MeBeJamin
249768869,The Dolorous Stroke,dolorousstroke
22750284,Lofwyr,wills4223
792695646,Mark D Johnson,mdj5885
17559997,Candia,cwrujd
1032979754901807104,Back to Screaming into the void🌎,MoyerWm1
808048613486039040,Publius Stands With Ukraine,PubliusBenedict
1088862056705593344,The Tennessee Holler,TheTNHoller
2880052887,Ted,trom771
1865954294,Larry Pendry,Lpendry50
1124546490050011136,@deadcatsullivan2020,deadcatsulliva1
1283527170443411458,Indivisible Rosedale Huddle,RosedaleHuddle
1259498562871754754,Francisco Antolinni,AAntolinni
262361708,lisa vr,lasel22
1688,Adam Rifkin 🐼🌻,ifindkarma
256159524,Lauren Windsor,lawindsor
1260630279342960641,Ghost,alertghost
23954775,The Rude Pundit,rudepundit
22163983,Justin Cross,FakeJustinCross
24428699,Richard W.,IceManNYR
631149574,SandaBlueDeux esq.ret.🌻,SandaBlueDeux
3037232182,Dennis S Brotman 🇺🇸 #DemCast #DemCastGA ☮️,DenbrotS
8431652,𝑺𝒉𝒐𝒒,Shoq
163422589,Margaret Patterson🇺🇦,mmpcatz
193887510,Blue America 💙 🇺🇸 🆘,Blue__America
139821929,Great Mountain Wizard,magnificentlore
47113279,Jess,JustJess97
1197574323038556161,Logan Murphy,Murphy111L
2512804943,Jessica P🌊,jessica_mess33
1001264314962063365,entprof,entprof1
765350680504569856,Richard Frady,RichardFrady1
491052518,Jeff Al,JefffreeAl
896778379143327746,Persist! We Are All Ukraine!,KennysLittleBro
3101998342,Robert James 🌊 The “big lie” is just a big lie🤥,studentsfordemo
1141024280571973632,LadyD 💙🇺🇸💙🌊,LadyD_420Empath
2443456445,Potable1,Potableone
202787867,mike s.,pureevil74
3072459989,Resist,TraciLN1164
607622522,chrissy🌻,TheChrisJax
12791292,J-ALLKNOWING,MagicalJeffrey
23637488,"Tracy Blake, MPS",GRASSGURU
168010283,"Deputy Director Sloan, UFP ♠️",realLutherSloan
2491804962,Jess Piper,EnglishTeach07
1070015196633063424,Kate Sanguinetti,KateSanguinetti
142301899,Mozumder,Obayedullah
24733117,Jeffrey Levin 🇺🇦,jilevin
1002180434166468608,Jess_in_FL,jess_in_the_FLA
2175075787,One Pissed Off Tejana,liberaltexican
4160911461,Christy 🎵🦏🖤✌🏼,mrs_redrhino
872863420231667712,Owen,bananasinhavana
1100728513412456449,Musa,Musa22468895
1074693372433104896,Palestine Museum US,PalMuseumUS
950832339617280001,The Solution Station,TheSolutionStat
1016728441,🆁🅰🅼🅸🅻,realRamil1
4390664413,Harry Brock🌹 🇵🇸 🇮🇹,MichaelTomasel2
7325832,julie 🌻,jsigwart
872563961505488896,BetterVision2020,BtrVision2020
51432625,David Miller,livingintoday
509631618,🕰4️⃣⚖️➕🥃➕ 🇺🇦🌻,jeanniebead
4899456834,Weakly Political,weaklypolitical
2496335227,rantt,ranttmedia
1048680285796225024,Thia,Thia38497535
912391586876727297,William O'Neil,woneilattorney
1479957685,Greg Ryan,bellicosedwarf
998318677366894592,John Q Public,JohnQPublic50
149751818,Jillian Hurley 🌻,JillianSaysNow
4884860610,Michelle Napoli,MNInTheDesert
994216364641415168,TARcoffee,TcAR_coffee
17261066,Adam Best,adamcbest
847736231114940416,no party and free,berniedrake6
715534756461617152,12:AM,Izydeen
209496190,Vijay Khurana,Tamaasha
1000440153926782977,ifedi udye,IfediUdye
997056715718778881,Out and About Sacramento,outandaboutsac
115883210,Liz 😒,childfreediva
49698134,Joy-Ann (Pro-Democracy) Reid 😷,JoyAnnReid
47114156,Twitmo Inmate:,Shoqq
259786813,Dead Randy 🇨🇦 he/him,DeadRandy
402996015,Scott Borden,ScottTalksALot
983559505723121665,Taz Ahmed,TazAhmed14
444697801,(((fluorescentgoonshrieking))),AlizaWrites
984845243487891456,GV Drake,GregVDrake
4519288635,big lenny,biglenny_sj
976893894607687680,Mz Kamika Sekhmet,KamikaSekhmet
844602610032295939,Johnny P,813johnnyp
820369213759987712,𝓟𝓮𝓻𝓲𝓹𝓪𝓽𝓮𝓽𝓲𝓬 🌏   ꧁Peri꧂,Pmaalai
2280814374,danamdc333,danamdc333
755835576,Holly Figueroa O'Reilly,AynRandPaulRyan
929542961356042240,ChevelleMichelin,ChevelleMichel1
26781400,Debbie Curtis,dukes225
14764149,JK 🇺🇦 Слава Україні!,jfk117
58579210,BlogLife,MyBloggerLife
15049138,Dan Canon,dancanon
285287627,claudia,NastyClaudia
1008930049,Gorilla Panic ⚧️ 🌕⛅#BDS 🇵🇸 #FreeAssange,GorillaPanicRLJ
2605951888,Quincy Joseph,Quincy_55103
23293290,Toni Hayes,TONIHAYES
18077892,ShannonWO,ShannonWO
814286392108777472,Dana Lynn,Ice_Maiden95
12599412,lvdjgarcia,lvdjgarcia
10404232,sellitman™,sellitman
9039792,c.gerrish,cgerrish
59901303,NoTyme4BS,mrkyll
3136828015,Allisson Marci,shalihaq98a
19802846,ARM #VoteDEM,ArmVoteDem
47007504,Shannon Barber,Shannon1981B
19483418,Larry Steele,LarryBSteele
760535305,PaulRyanPeak,PaulRyanPeak
2962480244,sante suzie,SuzieSante
734413127320752128,Not All Streets are Like Sesame St.,PBWatts11
50908321,Stiletto Heel,peeptoemama
230432654,Paddy,breweronhill
21149162,Rod Campbell,Roddee
820148666,Martha 🧶 Smith,jazziknits
507947388,GF,GFrekon
246576933,Angie Davis,angiedee64
16356658,Canteach,canteach
378379952,Just a 6,J684
16911584,Corinne Marasco,CorinneAM
4097985741,Pepys's Bryndza 🇺🇲 🇺🇦 🐝,cromgood
2648717641,Lisa Fittko🌻,lisafittko
540543234,Jamie Carter- ProChoice & Pissed Off,JCTheResistance
80415454,Republicans Are Dangerous to Democracy,LiberalFenix
871437799152533504,Cori,quasi_maybe
