id,name,username
289865805,Jason Selvig,jasonselvig
212445456,Dr. Jack Brown,DrGJackBrown
2876041031,Barbara Malmet,B52Malmet
24733117,Jeffrey Levin 🇺🇦,jilevin
1512742746766905353,BoehlertMediaBusters,MediaBusters6
1268223690480615424,No Lie with Brian Tyler Cohen,NoLieWithBTC
984772710,Kathryn Joyce,kathrynajoyce
19536434,Igor Sushko,igorsushko
819994707061248001,CALL TO ACTIVISM,CalltoActivism
15801906,Tristan Snell,TristanSnell
926164634570067968,"Mueller, She Wrote",MuellerSheWrote
818893114979061761,Jo 🌻,JoJoFromJerz
42518865,Fred Wellman,FPWellman
1192160073897988096,Rachel Vindman 🌻,natsechobbyist
767788995962998784,Really American 🇺🇸,ReallyAmerican1
1243560408025198593,MeidasTouch.com,MeidasTouch
3103505578,Aaron Parnas,AaronParnas
713752653289955329,Jack Cocchiarella,JDCocchiarella
3827830753,PoliticsGirl,IAmPoliticsGirl
1477342011875381251,web3 is going just great,web3isgreat
5054721,Donna Schwartz Mills,socalmom
1473249066,Editorial & Political Cartoons,EandPCartoons
16310951,Gwen Snyder is uncivil,gwensnyderPHL
420810311,Centrism Fan Acct 🔹,Wilson__Valdez
19638751,David Pepper,DavidPepper
524940885,Jon “Bowzer” Bauman,JonBowzerBauman
1304772605329768450,Trump Is Putins Puppet,is_putins
44020361,Thee Lisa Glass 🇺🇦,LMplusG
4848301,Dave Troy 🇺🇦 🇺🇸,davetroy
22998311,New York Times Pitchbot,DougJBalloon
93440753,Chris Larson,ChrisJLarson
2908629628,The Professional Left Podcast,ProLeftPodcast
1354124592005189633,Charming Bastard,StarlingBuchan1
67934730,Brinley Hineman,brinleyhineman
17757642,Sarah Posner,sarahposner
1298372735383605249,Ron Filipkowski 🇺🇦,RonFilipkowski
28390516,KMOV,KMOV
40156330,"Scott Gottlieb, MD",ScottGottliebMD
39416218,"Ashish K. Jha, MD, MPH",ashishkjha
826084524,Jeanne Kuang,JeanneKuang
1177987198131429378,Lindsey Simmons,LynzforCongress
23106996,Daniel Hill,rftmusic
3242532865,Kyle Garner,KyleGarnerMO
16855888,Kurt Andersen,KBAndersen
2868329501,Kat Abu,abughazalehkat
16848539,Dave Foley,DaveSFoley
2172596028,Dan Price,DanPriceSeattle
466532637,Tim Ryan,TimRyan
507582860,Chris Prener,chrisprener
4228837518,Representative Park Cannon,Cannonfor58
1369343440534855681,Secretary Marcia L. Fudge,SecFudge
22730752,George Hahn,georgehahn
524024759,Bruno Amato,BrunoAmato_1
124820305,Sen. Jeff Jackson,JeffJacksonNC
1155192538535550976,Jeff Sites for Ohio,Sites4Ohio
489475164,Moe — Quadruple Vaxxed Vet — Unaffiliated Voter,ColMorrisDavis
1349175483989188608,Douglas Emhoff,SecondGentleman
803694179079458816,Vice President Kamala Harris,VP
1349170292564905988,Karine Jean-Pierre,PressSec
1351284403801108481,Ronald Klain,WHCOS
52253024,Scott Lemieux,LemieuxLGM
105031348,Matthew Cooke,thematthewcooke
