id,name,username
16367077,petermshane,petermshane
1146206152922816513,Brendon Carpenter 🇺🇸,PinkoPatriot
2176143362,National Assoc. for Rational Sexual Offense Laws,NationalRSOL
2792323296,The Syndrome documentary,TheSyndromeFilm
1518745715069042688,Brian Smith,BrianSm44169723
14973958,Crystal,ItsCrystalSue
126031173,Keith,keith___m
1052607621813817346,Harlequin Duck 🇺🇦,Shelducks8
1300129130281873413,JI is vaxxed masked & nauseous,jk2ndacct
1117099036404801537,gothicmork,gothicmork
1172947671071543296,What'sLuckGotToDoWithIt?,Deecee526
996533458511024130,annaBelleblonde,AnnaBelBLONDE
1498658569,justachemist,justachemist002
1457884024702132224,Risky Liberal 🇺🇦,LiberalRisky
164726671,Leah🇺🇦,LeahOutspoken
45740182,Mimi Ai,MimiAi
1391122623392792577,AmL,AmL02156741
3387727233,Game of Life,EmiliaOnPoint
1454612774055731203,Michael Buchholz,Michael29095678
927687605319356417,Jason Nysa Cleomedes,JasonNysa
1082026940393971712,Pickles is over it!,PicklesG27
14037762,tired motherpuppy,letthedogin
899405284061331457,JamieLoveLiveResist ☮️,JamieGoldstein5
2768424312,WTAF?! 🤬💙🤬,grsullivan85
17769575,mx thornback,mariNYC
1200501595227774977,Carolyn Rush for Congress,carolynrush31
1260236826113081344,Roger Lazoff,RogerLazoff
304143084,Moe,TrumpCrimeFam1
996496698087235586,Problem Seal,SealBurping
2640445821,Dexter Normal,dexternormal
1349530814946684929,kadda,kadda2727788
824641592631947264,W.J.Wylie3 it was an attempted coup not a riot,BillWylie3rd
38466461,Valery Johnson,Initha
12084612,Blam Zonro,BlamZonro
238862918,Republican Swine,RepublicanSwine
172201065,Sally Wynn,OldSally22
23894246,Daniel Liatowitsch,d_twit
3221117109,Carol Donaldson,canadiancarol1
2776884871,Wayne Geiselman,wgeiselman1
1027242252526018560,Yvonne 🤧🍕,yiban49
897479896825548801,Chuck Bott,ChuckBott3
285212726,sandra hughes 🌍citizen,sandrahughes3
602045368,Julia,gracefulily27
787787748836937728,imjustagirl,Tarampratt6
1081998666183917568,Jason (LFG!) 🩸🦷,boomgoesthecan1
50877437,indiependent1,indiependent1
17495971,Owned Libtard,OwnedLibtard
1187591642913501185,Jon Sociologist,JonSociologist
825444490584399873,mooma,vontravel345
57210016,Luke Maurer,Jyrinx
4637071276,"Bow down, peasants. The WMC overlords have spoken",TotieCapote
936351742144466944,Lindsay 🌻 🇺🇲,LindsayGrace019
1934399719,Professional Marijuanist,ElBuffaloLoco
540413213,Count The VOTE,MydibaTh
20588898,🌹 Elmo Sunk 🌹,trescassmirk
13486482,Adam Young,youngadamc
1239679028337967105,Veronica Barrett,Veronic07208343
1259270329244909569,Pierre Dubois-Melvin,PierreDuboisMe1
2242622084,ur failing us.,Power4Purpose
1149785635319930883,TheBlackPowerRanger,ProgressOvrPrty
871627369,candi,Candi2012Cindii
829836012297846789,Boomer2010,cjpoboy
865648482,Matthew Ruggles,MatthewRuggles1
416953952,Gretchen A,Geeismad
1021382089059590144,J.P. Spencer,JohnathanPerk
213519470,Marquil,EmpireWireNY
45655109,Peter Herring,Phermes54
888147066123374593,"Elizabeth Bennett, JD",CivilizedDebate
703389919872425989,tbkrazy- Justice ⚖ Before Unity,tbkrazy2016
1201249573186015232,Uncle Baby Snakey,sssnakeshack
1275478408953241605,Actasif,Actasif5
1281778521053040640,adama,nicojallow12
80834971,BlueNile TravelGroup,BlueNileTravel
948420547217690624,.🫠.,aww_dang
1167930733719162880,Nalcedd,Rfourdee4
1275953919361863683,imagunition,imagunition
3132604943,leena,LiLahtinen
1190461507785519104,Charity Hope,CharityHope1691
1312848331404648450,tldougherty,terridoughert13
613920823,Nancy Thotwin,adeebull
17502477,Steven Jaffe,jaffes
67681337,Change the world before it ends,brandigranett
54228009,ReadAPoemToday,ToddTemkin
21978340,Wrinkles,WrinklesBulldog
1312683389380685824,Xevioso_R,Xevioso_R
781397364,Eric Whitney,EricExtempore
606391347,Vailala Madness,ShermEstes
2898598824,jeffwhallin,jwhallin
3083060199,Lyn Perkins,lwperkinsart
2864194335,Edie ❤️🔥❤️🔥,mamaprogressive
616475788,Phedora O'Duane,dolliod
188192905,Jonathan Urbach 🇺🇸🏳️‍🌈🐻🤘✡️🍺,jonathanurbach
296732729,AngryAndrew™ (Picky Pedantic Progressive Polymath),AndySomers
626916612,nick p (not that one),npnthr
47721791,girl from Austin,skippybarmito
501451694,J.C. Archibold 💐🌸🌺,jcsekhar74
977628476,Michael Valdez,MurietaMike
860447089620389888,Kolleen bright,bright_kolleen
2186462558,Chad Hale,ChadHale101
3335880639,Jocelyn,isawsparx2
1143379761286139904,Nicerr,nicerr_me
1238179238609661953,jc,jollycyanide
1224876845507784705,"Syncopatedrythm@Imaboomer,ok?",syncopatedrythm
166329578,𝚋𝚊𝚡𝚝𝚎𝚛 𝚋𝚎𝚊𝚗,TheBaxterBean
16245302,Shari2112 🌊 🌵 🇺🇦,Shari2112
29308224,Ciggy - Bringer of Smoke,mtreyens
